"C02451V02968","County","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"05","Laois","2006","2006","ROA20C4","Killed Casualties","Number","8"
"05","Laois","2006","2006","ROA20C5","Injured Casualties","Number","181"
"05","Laois","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","189"
"05","Laois","2007","2007","ROA20C1","Fatal Collisions","Number","5"
"05","Laois","2007","2007","ROA20C2","Injury Collisions","Number","103"
"05","Laois","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","108"
"05","Laois","2007","2007","ROA20C4","Killed Casualties","Number","5"
"05","Laois","2007","2007","ROA20C5","Injured Casualties","Number","170"
"05","Laois","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","175"
"05","Laois","2008","2008","ROA20C1","Fatal Collisions","Number","9"
"05","Laois","2008","2008","ROA20C2","Injury Collisions","Number","123"
"05","Laois","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","132"
"05","Laois","2008","2008","ROA20C4","Killed Casualties","Number","12"
"05","Laois","2008","2008","ROA20C5","Injured Casualties","Number","198"
"05","Laois","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","210"
"05","Laois","2009","2009","ROA20C1","Fatal Collisions","Number","5"
"05","Laois","2009","2009","ROA20C2","Injury Collisions","Number","110"
"05","Laois","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","115"
"05","Laois","2009","2009","ROA20C4","Killed Casualties","Number","5"
"05","Laois","2009","2009","ROA20C5","Injured Casualties","Number","185"
"05","Laois","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","190"
"05","Laois","2010","2010","ROA20C1","Fatal Collisions","Number","8"
"05","Laois","2010","2010","ROA20C2","Injury Collisions","Number","83"
"05","Laois","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","91"
"05","Laois","2010","2010","ROA20C4","Killed Casualties","Number","9"
"05","Laois","2010","2010","ROA20C5","Injured Casualties","Number","135"
"05","Laois","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","144"
"05","Laois","2011","2011","ROA20C1","Fatal Collisions","Number","1"
"05","Laois","2011","2011","ROA20C2","Injury Collisions","Number","77"
"05","Laois","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","78"
"05","Laois","2011","2011","ROA20C4","Killed Casualties","Number","1"
"05","Laois","2011","2011","ROA20C5","Injured Casualties","Number","119"
"05","Laois","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","120"
"05","Laois","2012","2012","ROA20C1","Fatal Collisions","Number","0"
"05","Laois","2012","2012","ROA20C2","Injury Collisions","Number","85"
"05","Laois","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","85"
"05","Laois","2012","2012","ROA20C4","Killed Casualties","Number","0"
"05","Laois","2012","2012","ROA20C5","Injured Casualties","Number","118"
"05","Laois","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","118"
"06","Longford","2005","2005","ROA20C1","Fatal Collisions","Number","8"
"06","Longford","2005","2005","ROA20C2","Injury Collisions","Number","66"
"06","Longford","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","74"
"06","Longford","2005","2005","ROA20C4","Killed Casualties","Number","9"
"06","Longford","2005","2005","ROA20C5","Injured Casualties","Number","104"
"06","Longford","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","113"
"06","Longford","2006","2006","ROA20C1","Fatal Collisions","Number","6"
"06","Longford","2006","2006","ROA20C2","Injury Collisions","Number","60"
"06","Longford","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","66"
"06","Longford","2006","2006","ROA20C4","Killed Casualties","Number","6"
"06","Longford","2006","2006","ROA20C5","Injured Casualties","Number","90"
"06","Longford","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","96"
"06","Longford","2007","2007","ROA20C1","Fatal Collisions","Number","4"
"06","Longford","2007","2007","ROA20C2","Injury Collisions","Number","61"
"06","Longford","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","65"
"06","Longford","2007","2007","ROA20C4","Killed Casualties","Number","6"
"06","Longford","2007","2007","ROA20C5","Injured Casualties","Number","105"
"06","Longford","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","111"
"06","Longford","2008","2008","ROA20C1","Fatal Collisions","Number","3"
"06","Longford","2008","2008","ROA20C2","Injury Collisions","Number","70"
"06","Longford","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","73"
"06","Longford","2008","2008","ROA20C4","Killed Casualties","Number","3"
"06","Longford","2008","2008","ROA20C5","Injured Casualties","Number","117"
"06","Longford","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","120"
"06","Longford","2009","2009","ROA20C1","Fatal Collisions","Number","2"
"06","Longford","2009","2009","ROA20C2","Injury Collisions","Number","57"
"06","Longford","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","59"
"06","Longford","2009","2009","ROA20C4","Killed Casualties","Number","2"
"06","Longford","2009","2009","ROA20C5","Injured Casualties","Number","85"
"06","Longford","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","87"
"06","Longford","2010","2010","ROA20C1","Fatal Collisions","Number","2"
"06","Longford","2010","2010","ROA20C2","Injury Collisions","Number","66"
"06","Longford","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","68"
"06","Longford","2010","2010","ROA20C4","Killed Casualties","Number","2"
"06","Longford","2010","2010","ROA20C5","Injured Casualties","Number","106"
"06","Longford","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","108"
"06","Longford","2011","2011","ROA20C1","Fatal Collisions","Number","2"
"06","Longford","2011","2011","ROA20C2","Injury Collisions","Number","40"
"06","Longford","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","42"
"06","Longford","2011","2011","ROA20C4","Killed Casualties","Number","2"
"06","Longford","2011","2011","ROA20C5","Injured Casualties","Number","67"
"06","Longford","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","69"
"06","Longford","2012","2012","ROA20C1","Fatal Collisions","Number","4"
"06","Longford","2012","2012","ROA20C2","Injury Collisions","Number","56"
"06","Longford","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","60"
"06","Longford","2012","2012","ROA20C4","Killed Casualties","Number","5"
"06","Longford","2012","2012","ROA20C5","Injured Casualties","Number","100"
"06","Longford","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","105"
"07","Louth","2005","2005","ROA20C1","Fatal Collisions","Number","12"
"07","Louth","2005","2005","ROA20C2","Injury Collisions","Number","202"
"07","Louth","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","214"
