"STATISTIC","Statistic Label","TLIST(A1)","Year","C03119V03771","Hour of Day","UNIT","VALUE"
"ROA19C4","Killed Casualties","2018","2018","12","11","Number","4"
"ROA19C4","Killed Casualties","2018","2018","13","12","Number","6"
"ROA19C4","Killed Casualties","2018","2018","14","13","Number","7"
"ROA19C4","Killed Casualties","2018","2018","15","14","Number","9"
"ROA19C4","Killed Casualties","2018","2018","16","15","Number","6"
"ROA19C4","Killed Casualties","2018","2018","17","16","Number","7"
"ROA19C4","Killed Casualties","2018","2018","18","17","Number","8"
"ROA19C4","Killed Casualties","2018","2018","19","18","Number","9"
"ROA19C4","Killed Casualties","2018","2018","20","19","Number","7"
"ROA19C4","Killed Casualties","2018","2018","21","20","Number","4"
"ROA19C4","Killed Casualties","2018","2018","22","21","Number","10"
"ROA19C4","Killed Casualties","2018","2018","23","22","Number","3"
"ROA19C4","Killed Casualties","2018","2018","24","23","Number","12"
"ROA19C4","Killed Casualties","2019","2019","-","All hours","Number","140"
"ROA19C4","Killed Casualties","2019","2019","01","12 midnight","Number","7"
"ROA19C4","Killed Casualties","2019","2019","02","1","Number","9"
"ROA19C4","Killed Casualties","2019","2019","03","2","Number","6"
"ROA19C4","Killed Casualties","2019","2019","04","3","Number","2"
"ROA19C4","Killed Casualties","2019","2019","05","4","Number","0"
"ROA19C4","Killed Casualties","2019","2019","06","5","Number","2"
"ROA19C4","Killed Casualties","2019","2019","07","6","Number","8"
"ROA19C4","Killed Casualties","2019","2019","08","7","Number","5"
"ROA19C4","Killed Casualties","2019","2019","09","8","Number","5"
"ROA19C4","Killed Casualties","2019","2019","10","9","Number","3"
"ROA19C4","Killed Casualties","2019","2019","11","10","Number","4"
"ROA19C4","Killed Casualties","2019","2019","12","11","Number","6"
"ROA19C4","Killed Casualties","2019","2019","13","12","Number","9"
"ROA19C4","Killed Casualties","2019","2019","14","13","Number","6"
"ROA19C4","Killed Casualties","2019","2019","15","14","Number","8"
"ROA19C4","Killed Casualties","2019","2019","16","15","Number","8"
"ROA19C4","Killed Casualties","2019","2019","17","16","Number","4"
"ROA19C4","Killed Casualties","2019","2019","18","17","Number","9"
"ROA19C4","Killed Casualties","2019","2019","19","18","Number","12"
"ROA19C4","Killed Casualties","2019","2019","20","19","Number","8"
"ROA19C4","Killed Casualties","2019","2019","21","20","Number","9"
"ROA19C4","Killed Casualties","2019","2019","22","21","Number","3"
"ROA19C4","Killed Casualties","2019","2019","23","22","Number","5"
"ROA19C4","Killed Casualties","2019","2019","24","23","Number","2"
"ROA19C4","Killed Casualties","2020","2020","-","All hours","Number","147"
"ROA19C4","Killed Casualties","2020","2020","01","12 midnight","Number","6"
"ROA19C4","Killed Casualties","2020","2020","02","1","Number","3"
"ROA19C4","Killed Casualties","2020","2020","03","2","Number","7"
"ROA19C4","Killed Casualties","2020","2020","04","3","Number","1"
"ROA19C4","Killed Casualties","2020","2020","05","4","Number","6"
"ROA19C4","Killed Casualties","2020","2020","06","5","Number","2"
"ROA19C4","Killed Casualties","2020","2020","07","6","Number","3"
"ROA19C4","Killed Casualties","2020","2020","08","7","Number","5"
